Date,Service,Errors
2026-08-17,API,12
2026-08-17,Web,5
2026-08-18,API,9
2026-08-18,Web,6
2026-08-19,API,14
2026-08-19,Web,4
2026-08-20,API,11
2026-08-20,Web,7
2026-08-21,API,8
2026-08-21,Web,5
2026-08-22,API,3
2026-08-22,Web,2
2026-08-23,API,2
2026-08-23,Web,1
2026-08-24,API,15
2026-08-24,Web,8
2026-08-25,API,13
2026-08-25,Web,6
2026-08-26,API,10
2026-08-26,Web,5
2026-08-27,API,9
2026-08-27,Web,4
2026-08-28,API,7
2026-08-28,Web,6
2026-08-29,API,4
2026-08-29,Web,3
2026-08-30,API,1
2026-08-30,Web,2
