Week,Channel,Signups
2026-06-01,Organic,40
2026-06-01,Referral,10
2026-06-08,Organic,44
2026-06-08,Referral,12
2026-06-15,Organic,39
2026-06-15,Referral,11
2026-06-22,Organic,47
2026-06-22,Referral,14
2026-06-29,Organic,51
2026-06-29,Referral,13
2026-07-06,Organic,48
2026-07-06,Referral,15
2026-07-13,Organic,55
2026-07-13,Referral,16
2026-07-20,Organic,53
2026-07-20,Referral,14
2026-07-27,Organic,60
2026-07-27,Referral,18
2026-08-03,Organic,58
2026-08-03,Referral,17
2026-08-10,Organic,64
2026-08-10,Referral,20
2026-08-17,Organic,61
2026-08-17,Referral,19
2026-08-24,Organic,70
2026-08-24,Referral,22
